cate,JobTitle,CompanyName,Location,Url,p10_salary,p50_salary,p90_salary,LocationStates
cloud-engineer,Senior Help Desk & Desktop Support Engineer,Mutual of America Life Insurance Company,"Boca Raton, FL","https://www.glassdoor.com/job-listing/senior-help-desk-desktop-support-engineer-mutual-of-america-financial-group-JV_IC1154153_KO0,41_KE42,75.htm?jl=1009141040294",69434,83122,99507,FL
cloud-engineer,"Administrator, AWS Cloud","RE/MAX International, Inc.","Denver, CO","https://www.glassdoor.com/job-listing/administrator-aws-cloud-re-max-llc-JV_IC1148170_KO0,23_KE24,34.htm?jl=1009159729454",76500,88250,100000,CO
cloud-engineer,Senior software engineer,Oracle Corporation,"Nashua, NH","https://www.glassdoor.com/job-listing/senior-software-engineer-oracle-JV_IC1147911_KO0,24_KE25,31.htm?jl=1009222628230",106047,129448,158014,NH
cloud-engineer,Sr. System Validation Engineer,"Lucid Motors, Inc.","Newark, CA","https://www.glassdoor.com/job-listing/sr-system-validation-engineer-lucid-motors-JV_IC1147377_KO0,29_KE30,42.htm?jl=1009218648541",127000,150785,174570,CA
cloud-engineer,Senior Software Engineer (Fullstack) - Billing & Tools,"Bill.com, LLC","San Jose, CA","https://www.glassdoor.com/job-listing/senior-software-engineer-fullstack-billing-tools-bill-com-JV_IC1147436_KO0,48_KE49,57.htm?jl=1009222001237",145600,160150,174700,CA
cloud-engineer,"SENIOR ENGINEER, OCT MODELING","Micron Technology, Inc.","Boise, ID","https://www.glassdoor.com/job-listing/senior-engineer-oct-modeling-micron-JV_IC1127927_KO0,28_KE29,35.htm?jl=1009196102424",123064,148340,178807,ID
cloud-engineer,Senior Machine Learning Engineer,thredUP Inc.,"Scottsdale, AZ","https://www.glassdoor.com/job-listing/senior-machine-learning-engineer-thredup-inc-JV_IC1133911_KO0,32_KE33,44.htm?jl=1009222172288",210000,225000,240000,AZ
cloud-engineer,Cloud Services Associate,,"Oxon Hill, MD","https://www.glassdoor.com/job-listing/cloud-services-associate-cloudforce-JV_IC1153889_KO0,24_KE25,35.htm?jl=1009192942151",15,17.5,20,MD
cloud-engineer,Cloud Operations Engineer,Quadient ,"Milford, CT","https://www.glassdoor.com/job-listing/cloud-operations-engineer-quadient-JV_IC1148464_KO0,25_KE26,34.htm?jl=1009159879231",97800,122250,146700,CT
cloud-engineer,Infrastructure Engineer,"Set Solutions, Inc.","Fort Worth, TX","https://www.glassdoor.com/job-listing/infrastructure-engineer-set-solutions-JV_IC1139993_KO0,23_KE24,37.htm?jl=1009205332959",90000,100000,110000,TX
